latitude,longitude
28.548451,77.181444
28.5444849,77.1256912
28.5826805,77.1696479
28.5418938,77.1862772
28.5398146,77.1840572
28.5433525,77.2140757
28.5685715,77.1876831
28.5591555,77.2696155
28.5323123,77.2179689
28.5343792,77.2302126
28.522712,77.2230873
28.5929662,77.210903
28.5192116,77.2362095
28.6581722,77.2195124
28.5746738,77.223205
28.5127982,77.2323949
28.6016454,77.2421181
28.588365,77.2449546
28.5896671,77.2503854
28.5959698,77.2311628
28.5990034,77.2238326
28.5717018,77.2045946
28.5716096,77.2131433
28.576794,77.2062778
28.5636616,77.2890546
28.5685108,77.2513847
28.5512676,77.2360199
28.5530522,77.2429694
28.5652204,77.2547041
28.5818356,77.1769289
28.5268702,77.2073934
28.5570477,77.0720814
28.6273375,77.1403175
28.6526021,77.1536389
28.6217303,77.1586415
28.6459661,77.162929
28.6655672,77.228819
28.664203,77.2237393
28.6644357,77.29496
28.6185287,77.3026578
28.5752723,77.1878506
28.4573589,77.1825027
28.7012532,77.2284569
28.548804,77.2012358
28.5685678,77.1934447
28.5878919,77.1690202
28.5468543,77.2919683
28.5422362,77.2073492
28.5705664,77.2203844
28.6514771,77.1566709
28.6142004,77.0681823
28.57637,77.0119969
28.6723367,76.9984106
28.6176011,77.0072118
28.6632459,77.0134882
28.5784051,77.0500199
28.6363458,77.1152112
28.6070061,77.1156501
28.6159162,76.9658112
28.7467295,77.1437899
28.7534267,77.142996
28.4324284,77.2274758
28.7017988,77.1773712
28.7059349,77.1774144
28.6336379,77.1046552
28.5338204,77.242467
28.6193,77.1087697
28.6346361,77.1071121
28.6286841,77.1470979
28.6220547,77.1386441
28.5594268,77.2276934
28.5621911,77.2264771
28.5574491,77.2262683
28.5763828,77.26592
28.6637213,77.142878
28.6646486,77.1472319
28.6661784,77.1409149
28.6661963,77.150915
28.6703201,77.1420875
28.6720901,77.1444122
28.6708475,77.1480386
28.6704333,77.1527378
28.6614996,77.1339838
28.6416337,77.1293811
28.6501773,77.134332
28.6465582,77.1299605
28.652182,77.1263056
28.6473773,77.1122901
28.6488744,77.118899
28.6454189,77.1137492
28.6416714,77.1047906
