latitude,longitude
28.5084497,77.166546
28.5117155,77.1634819
28.4896385,77.1384019
28.5978094,77.1808404
28.6114104,76.9877135
28.7946905,77.0372885
28.5962679,77.177701
28.573859,77.1842457
28.5697886,77.1783234
28.5712962,77.1781517
28.5778727,77.1845461
28.5603226,77.2667188
28.6300965,77.0940113
28.6853049,77.1826403
28.6614428,77.2799953
28.6023098,77.0450914
28.6059739,77.0479506
28.5903058,77.2419
28.5978797,77.2985568
28.6147687,76.9811687
28.6178334,76.9843272
28.6182087,76.9837474
28.6060798,76.985117
28.6067575,76.9396906
28.5704851,76.9036618
28.551102,76.8999464
28.552763,76.9075424
28.6024715,76.9317444
28.6826588,77.1578285
28.5467878,77.2921488
28.5402647,77.1683426
28.5402759,77.1670999
28.5464998,77.2925361
28.5480622,77.2929511
28.5464098,77.2956047
28.5483522,77.2930513
28.5482349,77.2940566
28.4717157,77.1285742
28.6098274,77.1006564
28.4942666,77.2047752
28.5662292,77.2746488
28.5968399,77.2253633
28.5642198,77.0578228
28.5637249,77.0574223
28.5648745,77.055416
28.5618483,77.0527569
28.560653,77.0586025
28.5561109,77.0571541
28.6699013,77.1326211
28.6721011,77.1337166
28.6677379,77.1393322
28.6776074,77.1002235
28.676031,77.1072725
28.6757409,77.1066654
28.6750003,77.1058706
28.6739957,77.1271291
28.6692325,77.1497669
28.6535437,77.1658655
28.652348,77.1655973
28.6541792,77.1660801
28.6471225,77.1680059
28.6384835,77.173365
28.6387283,77.1763691
28.6357621,77.1778604
28.6352772,77.1782466
28.6368309,77.1803119
28.6307618,77.1795502
28.6306394,77.1804675
28.6397954,77.1856155
28.6403133,77.1858677
28.6681733,77.0862745
28.6396027,77.209199
28.5285072,77.2473321
28.6350118,77.2002755
28.6362148,77.2008393
28.4524063,77.1416722
28.4530389,77.1477573
28.5153806,77.2502919
28.6896388,77.1560501
28.6895099,77.2086128
28.6950031,77.2104001
28.6902829,77.2080231
28.6326963,77.236735
28.5974311,77.2987713
28.5980669,77.2989537
28.7551761,77.1344924
28.7515852,77.136911
28.762092,77.1278171
28.7625802,77.1275975
28.7552526,77.1335128
28.5385083,77.2078952
28.5029639,77.1854026
28.6563835,77.2314822
28.6563695,77.2309239
28.6860144,77.2113287
28.6927134,77.1114558
28.6625993,77.2337777
28.7050328,77.2132691
28.5526424,77.2002206
28.5435945,77.1910553
28.5426345,77.1830508
28.5848874,77.0534935
28.5527332,77.2684563
28.5803757,77.257053
28.5386253,77.1479893
28.519551,77.2035198
28.625488,77.1133697
28.5157955,77.0502838
28.5692131,77.2175752
28.714491,77.2164605
28.6939915,77.1081266
28.697473,77.1370459
28.8032691,77.0512991
28.6304673,76.9685752
28.6473887,77.169391
28.5370038,77.1849245
28.5788563,77.0542962
28.5889898,77.0389764
28.5943755,77.0435682
28.6331399,76.9537195
28.6918581,77.1168424
28.7117973,77.1023916
28.7051428,77.1699743
28.555014,77.218435
28.556265,77.2049515
28.6168066,77.1371836
28.6701353,77.2840423
28.5611545,77.0591164
28.5841578,77.175441
28.5882606,77.1685592
28.7369367,77.126039
28.6628679,77.124514
28.5654935,77.0005244
28.5470179,77.2563459
28.6489732,77.3007936
28.5440473,77.2254741
28.5448773,77.2279586
28.543396,77.2257564
28.6120628,77.2881353
28.607846,77.291341
28.7196184,77.0661762
28.6118017,77.287413
28.6118221,77.2876138
28.6096116,77.2896107
28.5424418,77.2180108
28.5689757,77.1627474
28.5665107,77.2513052
28.5760199,77.1652909
28.4736928,77.1217455
28.5123981,77.203907
28.7396725,77.1193927
28.7397795,77.1195329
28.7385379,77.1214922
28.7363305,77.1284258
28.7364974,77.128777
28.5743511,77.1727645
28.5721181,77.1638274
28.7325136,77.1186337
28.7392311,77.1306159
28.5498387,77.2480443
28.5477704,77.2490814
28.7367974,77.1291872
28.734744,77.1248235
28.7346232,77.1241352
28.5730899,77.2335349
28.5722588,77.2359084
28.5907293,77.2309735
28.6052898,77.2329222
28.5866396,77.2523949
28.6887744,77.214661
28.5631714,77.161428
28.5522732,77.1368775
28.5534462,77.1761215
28.5309957,77.218045
28.5309108,77.2170319
28.5353149,77.2168348
28.535831,77.2177052
28.5330124,77.2185763
28.5332175,77.219553
28.5328393,77.2042952
28.5130679,77.2040027
28.5191896,77.2281724
28.4899855,77.1389634
28.6327017,77.2303905
28.6707436,77.2842459
28.5155013,77.2056319
28.5204901,77.2239646
28.5768012,77.2397878
28.5768608,77.2407455
28.5051676,77.2061624
28.5666919,77.2486547
28.567241,77.2482732
28.566689,77.2485614
28.630347,77.2415723
28.6265743,77.2325003
28.6266459,77.232358
28.5323755,77.3025188
28.6959475,77.2159162
28.5692469,77.2486371
28.5695905,77.248199
28.5433478,77.264387
28.6627534,77.2403662
28.6138254,77.3185994
28.5238936,77.1896796
28.4588686,77.1841549
28.710528,77.3133462
28.5084355,77.2008302
28.5704608,77.2371259
28.7069273,77.1072435
28.540601,77.2427929
28.646859,77.1597232
28.5650693,77.2485237
28.5622495,77.1941669
28.5231246,77.1799665
28.5229593,77.1773673
28.5689101,77.2257334
28.5194093,77.2009034
28.633435,77.2008328
28.5295429,77.1540449
28.5806388,77.1899811
28.5369319,77.2134518
28.5256057,77.2614615
28.5312399,77.2706607
28.4986996,77.2954384
28.5295756,77.2143363
28.6289112,77.2779076
28.5762957,77.2391399
28.7135899,77.2167691
28.7172505,77.2869559
28.5844558,77.2248024
28.6255941,77.0927024
28.5610558,77.1779814
28.7125877,77.1319602
28.7117425,77.1189585
28.6043448,77.0018985
28.6531063,77.2859524
28.6103953,77.0389687
28.6327723,77.2757333
28.631544,77.3118241
28.6307892,77.3121384
28.6319004,77.3140766
28.7330379,77.1286156
28.5637969,77.2556368
28.5634347,77.2550709
28.6807221,77.3126495
28.6816308,77.3148395
28.6787962,77.3088704
28.6807704,77.3127674
28.6803238,77.3122724
28.6822842,77.315704
28.6333424,77.3069961
28.6589497,77.2359195
28.6351719,77.3155184
28.6147038,77.3194623
28.6815139,77.3179445
28.6224543,77.3112651
28.5217944,77.1816408
28.5215056,77.1816816
28.6133314,77.2892876
28.5043828,77.2422016
28.5490069,77.234545
28.5548828,77.1950596
28.5606026,77.2757538
28.7015098,77.2277759
28.5836421,77.2176258
28.6028862,77.2220107
28.5947172,77.2477028
28.6082167,77.294443
28.7246014,77.1702275
28.5872412,77.2165688
28.5870203,77.2516215
28.5871452,77.2514966
28.5872431,77.2511171
28.7305602,77.1633984
28.578312,77.2369986
28.7072002,77.159657
28.7202814,77.1681427
28.5316826,77.1495711
28.5324614,77.1498449
28.7243163,77.1682228
28.723753,77.1682613
28.7335313,77.1670311
28.7209109,77.1706397
28.7289581,77.1733823
28.6943452,77.1943027
28.7406356,77.1627691
28.7400888,77.1611524
28.5947114,77.2476036
28.741976,77.1330579
28.7551751,77.1631194
28.7521862,77.1612643
28.7430383,77.1606083
28.7438961,77.1606342
28.5471568,77.1986814
28.7201841,77.1778744
28.5549832,77.2022197
28.6462818,77.1263579
28.7466071,77.1611125
28.6456119,77.126358
28.727873,77.1707573
28.5445054,77.0288535
28.7352003,77.1108968
28.5445161,77.0286877
28.4945193,77.3260089
28.4930183,77.3260786
28.4982037,77.3046099
28.6304676,77.274201
28.6302337,77.2737215
28.5853022,77.2440823
28.4946147,77.3256146
28.4945557,77.3256489
28.5630363,77.2809518
28.5625944,77.281506
28.7195588,77.1731899
28.6300144,77.2734518
28.7048478,77.1727953
28.5638054,77.2835401
28.5640924,77.2201443
28.7361483,77.1089283
28.6224206,77.2948755
28.7351493,77.1108471
28.736872,77.1111523
28.6373936,77.3041255
28.6373691,77.3039432
28.705239,77.1299253
28.5147461,77.1311635
28.5116999,77.1076037
28.5181464,77.1078691
28.6921105,77.2924273
28.6895949,77.2953063
28.6867672,77.2855948
28.6863497,77.2873607
28.5996273,77.057532
28.6037753,77.0512983
28.6000308,77.049833
28.7506425,77.1165275
28.7319529,77.1419899
28.662549,77.206525
28.6897326,77.2077668
28.6636,77.2069986
28.6226815,77.2905549
28.5957593,77.1226782
28.6071489,77.068435
28.5944407,77.1217797
28.6873131,77.1213517
28.7326689,77.0884462
28.6295291,77.2337334
28.583578,77.0711671
28.6696109,77.3073786
28.6757063,77.3090644
28.6657347,77.3025984
28.6698721,77.3094983
28.6699213,77.3090614
28.6658716,77.3083451
28.6660091,77.3087445
28.6658495,77.309429
28.6013333,77.1881167
28.694731,77.107745
28.6419638,77.2963033
28.6425568,77.2970774
28.5249774,77.2351102
28.5530314,77.1946809
28.5528731,77.1945674
28.6064022,77.0540629
28.5772735,77.1609638
28.5684003,77.2475193
28.626934,77.2939379
28.645105,77.2400873
28.5872043,77.0712295
28.5896687,77.0714444
28.589698,77.0714686
28.6161703,77.0326027
28.6229288,77.2911355
28.5946413,77.0419959
28.5952093,77.0411446
28.7185359,77.1374585
28.6004549,77.3166492
28.5419137,77.1677984
28.5399865,77.1673584
28.5392401,77.1856988
28.5396322,77.1858225
28.5385075,77.1382348
28.7750484,77.1423401
28.5623892,77.1571419
28.5342679,77.2125141
28.5972511,77.1802852
28.5403284,77.2018505
28.5403186,77.2020201
28.5399635,77.203736
28.6352161,77.2127416
28.6740659,77.1067785
28.6749885,77.1058346
28.6735906,77.1028588
28.6646759,77.2326519
28.6494553,77.0406927
28.648339,77.0420859
28.7964347,77.0352984
28.7951513,77.0379001
28.6312165,77.2973919
28.6185731,77.3027667
28.6173882,77.3033654
28.6093408,77.3116044
28.6180931,77.3149253
28.617946,77.3086562
28.6146387,77.3134856
28.6153272,77.3157891
28.6228233,77.3075816
28.6191174,77.3185833
28.6246317,77.3171186
28.6217877,77.3175462
28.6081156,77.3138149
28.6016805,77.3059001
28.6052001,77.307694
28.6047171,77.3061555
28.6000527,77.2938546
28.6098505,77.3021961
28.7046345,77.1377936
28.6865028,77.1654314
28.6868589,77.1699755
28.6921673,77.1669431
28.6894969,77.1710492
28.685505,77.1738057
28.6828455,77.1699747
28.6937961,77.1806289
28.6957684,77.1816277
28.6836666,77.1845719
28.6916329,77.1803149
28.6857551,77.1831733
28.696978,77.1843593
28.7055986,77.157158
28.7056895,77.1599644
28.7067387,77.1647956
28.7098579,77.1570081
28.7082935,77.1566406
28.7092972,77.1586079
28.7106173,77.1534608
28.7109369,77.1561795
28.704902,77.1513408
28.701813,77.1521937
28.7003233,77.146565
28.7001923,77.1497033
28.6975216,77.1474712
28.6992395,77.1435737
28.697594,77.1526785
28.7099449,77.1405321
28.7176046,77.1435971
28.7088523,77.1382209
28.7054743,77.1404594
28.7373478,77.1121023
28.735632,77.1104103
28.7342427,77.1089936
28.7304814,77.1150091
28.7328474,77.111686
28.7292693,77.1239235
28.7378639,77.1223561
28.7347664,77.1243599
28.7140373,77.1352652
28.71027,77.1323717
28.7159019,77.1374446
28.7129618,77.1335523
28.7091949,77.1339191
28.7307399,77.1315969
28.7347501,77.1311096
28.7292751,77.1303662
28.729158,77.1310487
28.7330971,77.1293691
28.7298314,77.1290946
28.7153717,77.1784832
28.7209552,77.1726744
28.7339658,77.1685925
28.7281725,77.1733464
28.7303714,77.1623906
28.7277213,77.0883247
28.7284758,77.0842106
28.721235,77.0826062
28.7222935,77.0805272
28.7263132,77.0870761
28.726071,77.085026
28.6396954,77.2299491
28.6434269,77.2269302
28.6028119,77.2154101
28.594349,77.1784601
28.5920649,77.1772092
28.5888439,77.1772031
28.5852266,77.1988157
28.5360857,77.2482746
28.5431479,77.2508723
28.5430623,77.2451008
28.5414045,77.2456009
28.5385361,77.2524043
28.7500074,77.116447
28.5664077,77.1993434
28.6258682,77.2073568
28.5894164,77.0651338
28.6240769,77.2013774
28.6257601,77.2074849
28.6256025,77.2103895
28.5304645,77.2131775
28.6029516,77.051305
28.6045108,77.049071
28.6063417,77.0479297
28.6000296,77.0498444
28.6023148,77.0451685
28.6021548,77.0463535
28.6029676,77.0464831
28.532607,77.2483559
28.536299,77.2486789
28.5781889,77.0717681
28.6758033,77.112768
28.6755668,77.1129127
28.636446,77.0772776
28.6326916,77.0773578
28.6321269,77.075736
28.6334733,77.1840874
28.6887325,77.1393287
28.6880827,77.1405966
28.5886195,77.0682322
28.6444011,77.196325
28.6442264,77.1948873
28.6413087,77.1914283
28.6418715,77.1765823
28.629498,77.2378275
28.5286639,77.2471049
28.6909667,77.1069374
28.6759513,77.085894
28.6745138,77.0873849
28.6074286,76.9882129
28.5696451,77.2482548
28.5246515,77.2548579
28.6116342,76.9800709
28.5511682,76.9056374
28.5481487,76.8989142
28.6024121,76.9318874
28.7325752,77.0945011
28.7343904,77.0942056
28.7024469,77.1260336
28.7035148,77.1287865
28.7027069,77.1053423
28.6992501,77.106341
28.7033331,77.1059034
28.7041586,77.1066409
28.6992826,77.100306
28.695281,77.1158769
28.693557,77.1083083
28.6924984,77.1085062
28.6881917,77.119881
28.7056266,77.1187203
28.7103211,77.1119556
28.7066755,77.1133061
28.6970637,77.0960889
28.6981144,77.0961334
28.6905681,77.0813892
28.6960447,77.1236859
28.694817,77.1221192
28.697564,77.1285996
28.6938997,77.1425318
28.6888849,77.1470141
28.6881303,77.1261735
28.6895558,77.1212526
28.6928498,77.122478
28.6819235,77.1361933
28.6801356,77.1404541
28.6866127,77.1316783
28.6810554,77.1414886
28.6905259,77.0835833
28.690496,77.0853536
28.6915633,77.0787122
28.6930395,77.087125
28.6906152,77.079545
28.6950017,77.0835709
28.6949727,77.085382
28.6968494,77.083814
28.689403,77.0909616
28.6903765,77.0909829
28.6961528,77.0934639
28.6904224,77.0889721
28.6917811,77.0910205
28.6935029,77.0951015
28.6904648,77.0871074
28.6888907,77.0922922
28.7147796,77.1093448
28.7036907,77.0964694
28.7126933,77.1074849
28.7138778,77.1038081
28.7147537,77.1025566
28.7068767,77.0902798
28.7074364,77.0905752
28.7204565,77.0942108
28.7220073,77.0951144
28.7163115,77.085933
28.7158359,77.0832846
28.5418902,77.165489
28.8067446,77.0542508
28.8041009,77.0545659
28.8067005,77.0497149
28.5378993,77.3002056
28.5499879,77.1786003
28.5393172,77.1687965
28.5392956,77.1681665
28.5396683,77.1676628
28.5400069,77.1672176
28.5507022,76.9055948
28.548034,77.2932612
28.6516888,77.2959305
28.4995312,77.2384606
28.5951687,77.0397924
28.5890939,77.0576892
28.5856857,77.0622582
28.5822331,77.0590088
28.5845938,77.0583446
28.5535806,77.0377998
28.556294,77.03932
28.5377687,77.1481414
28.5395974,77.1391416
28.533738,77.1444926
28.528608,77.1543963
28.5293729,77.1540527
28.5301062,77.1537783
28.5215411,77.1616667
28.5208446,77.1608266
28.5210771,77.162088
28.5314498,77.1443776
28.628717,77.2459508
28.6136119,76.9274552
28.6148333,76.9809125
28.6128827,76.925122
28.5995421,77.0243053
28.6478693,77.1814068
28.6014007,77.0173147
28.5988478,77.0450972
28.6058454,77.0381823
28.584992,77.0533544
28.5893776,77.0381776
28.7038836,77.1799984
28.5749839,77.042874
28.5997524,76.9893844
28.5895972,77.0070458
28.5914069,76.9991854
28.5780222,77.007464
28.5461464,77.2720672
28.6306431,77.2454551
28.6184253,77.086386
28.6248029,77.0802198
28.6093626,77.1045341
28.6310111,77.0758512
28.6592338,77.2827091
28.6115735,76.9879041
28.6119234,76.9859433
28.6552211,77.1264965
28.5591006,77.2769483
28.5570085,77.2792081
28.5461909,77.2732636
28.5233199,77.2131703
28.5234582,77.2146709
28.5205697,77.2133534
28.5234976,77.2096748
28.5226923,77.209378
28.5254002,77.2070077
28.5593588,77.2786631
28.5301228,77.2128976
28.6045491,77.3350645
28.625199,77.0626366
28.5870332,77.0892215
28.6121147,77.0867084
28.6743536,77.2832638
